rowID,ColumnNames,ColumnValues
_0039_Christina,_0400_MeadowsMall,3
_0039_Christina,_0583_AlternateRealityComics,5
_0039_Christina,_0673_TargetGreatland,4
_0039_Christina,_0716_Walmart,3
_0039_Christina,_1626_HobbyLobby,4
_0039_Christina,_1700_TheForumShops,5
_0039_Christina,_1729_TivoliVillage,4
_0059_Mark,_0752_AmericanShooters,4
_0059_Mark,_1178_REI,4
_0059_Mark,_1213_SportsmansWarehouse,4
_0059_Mark,_1627_LockNLoadTactical,4
_0059_Mark,_1832_GunGarage,3
_0086_Tetsuro,_0312_WalmartSupercenter,1
_0086_Tetsuro,_0424_AppleStore,2
_0086_Tetsuro,_0561_SmithsFoodDrugStores,2
_0086_Tetsuro,_0618_Walmart,1
_0086_Tetsuro,_0771_FrysElectronics,1
_0086_Tetsuro,_0931_TokyoDiscount,4
_0086_Tetsuro,_1059_GalleriaMallatSunset,4
_0086_Tetsuro,_1102_HM,3
_0086_Tetsuro,_1104_Costco,1
_0086_Tetsuro,_1145_Burberry,2
_0086_Tetsuro,_1233_Target,4
_0086_Tetsuro,_1673_HM,2
_0086_Tetsuro,_1705_LasVegasChinatownPlaza,5
_0123_Anita,_1700_TheForumShops,5
_0123_Anita,_0441_ABCStores,3
_0123_Anita,_0475_Sephora,5
_0123_Anita,_0502_DesertPassageAtAladdin,3
_0123_Anita,_0720_LasVegasNorthPremiumOutl,4
_0123_Anita,_0727_HawaiianMarketplace,3
_0123_Anita,_0869_FashionShow,2.5
_0123_Anita,_1060_MiracleMileShops,3
_0123_Anita,_1071_DisneysCharacterWarehous,1
_0123_Anita,_1074_CalvinKlein,3
_0123_Anita,_1089_KateSpade,5
_0123_Anita,_1147_2bBebe,3
_0123_Anita,_1152_SalvatoreFerragamoOutlet,3
_0123_Anita,_1155_CrocsOutlet,4
_0123_Anita,_1156_KateSpadeOutlet,3
_0134_Kent,_1085_Target,4
_0134_Kent,_1729_TivoliVillage,5
_0134_Kent,_0370_TheHomeDepot,3
_0134_Kent,_0678_OfficeDepot,4
_0134_Kent,_1064_BroadacresMarketplaceEve,3
_0134_Kent,_1065_FantasticIndoorSwapmeet,4
_0134_Kent,_1314_RetroVegas,5
_0134_Kent,_2367_DowntownSummerlin,4
_0134_Kent,_2374_SurLaTable,5
_0149_Yan,_1700_TheForumShops,4
_0149_Yan,_1060_MiracleMileShops,3
_0149_Yan,_0416_Walgreens,4
_0149_Yan,_0439_LouisVuitton,4
_0149_Yan,_1080_Sephora,4
_0154_Jose,_1700_TheForumShops,4
_0154_Jose,_1673_HM,5
_0154_Jose,_1090_TownSquareLasVegas,4
_0154_Jose,_1183_Walgreens,4
_0154_Jose,_1255_Target,5
_0154_Jose,_1686_RossDressforLess,4
_0187_Teri,_1178_REI,5
_0187_Teri,_0120_BigLots,3
_0187_Teri,_0186_CostcoBusinessCenter,3
